instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,datetime
1,2011-01-01,1.0,0.0,1,0,0,6,0.0,1.0,6861.52,12002.098400000004,810000.0,0.0,3,13,16.0,2011-01-01 00:00:00
2,2011-01-01,1.0,0.0,1,1,0,6,0.0,1.0,4785.06,7632.159200000005,800000.0,0.0,8,32,40.0,2011-01-01 01:00:00
3,2011-01-01,1.0,0.0,1,2,0,6,0.0,1.0,4785.06,7632.159200000005,800000.0,0.0,5,27,32.0,2011-01-01 02:00:00
4,2011-01-01,1.0,0.0,1,3,0,6,0.0,1.0,6861.52,12002.098400000004,750000.0,0.0,3,10,13.0,2011-01-01 03:00:00
5,2011-01-01,1.0,0.0,1,4,0,6,0.0,1.0,6861.52,12002.098400000004,750000.0,0.0,0,1,1.0,2011-01-01 04:00:00
6,2011-01-01,1.0,0.0,1,5,0,6,0.0,2.0,6861.52,3290.9695999999985,750000.0,26948.3648,0,1,1.0,2011-01-01 05:00:00
7,2011-01-01,1.0,0.0,1,6,0,6,0.0,1.0,4785.06,7632.159200000005,800000.0,0.0,2,0,2.0,2011-01-01 06:00:00
8,2011-01-01,1.0,0.0,1,7,0,6,0.0,1.0,2708.6000000000004,3290.9695999999985,860000.0,0.0,1,2,3.0,2011-01-01 07:00:00
9,2011-01-01,1.0,0.0,1,8,0,6,0.0,1.0,6861.52,12002.098400000004,750000.0,0.0,1,7,8.0,2011-01-01 08:00:00
10,2011-01-01,1.0,0.0,1,9,0,6,0.0,1.0,15167.360000000002,29424.356,760000.0,0.0,8,6,14.0,2011-01-01 09:00:00
11,2011-01-01,1.0,0.0,1,10,0,6,0.0,1.0,21396.74,42476.6744,760000.0,76303.5731,12,24,36.0,2011-01-01 10:00:00
12,2011-01-01,1.0,0.0,1,11,0,6,0.0,1.0,19320.279999999995,25054.416799999988,810000.0,85296.38680000001,26,30,56.0,2011-01-01 11:00:00
13,2011-01-01,1.0,0.0,1,12,0,6,0.0,1.0,25549.66,51187.80320000002,770000.0,85296.38680000001,29,55,84.0,2011-01-01 12:00:00
14,2011-01-01,1.0,0.0,1,13,0,6,0.0,2.0,29702.58,59898.932,720000.0,89777.7555,47,47,94.0,2011-01-01 13:00:00
15,2011-01-01,1.0,0.0,1,14,0,6,0.0,2.0,29702.58,59898.932,720000.0,85296.38680000001,35,71,106.0,2011-01-01 14:00:00
16,2011-01-01,1.0,0.0,1,15,0,6,0.0,2.0,27626.120000000003,55557.7424,770000.0,89777.7555,40,70,110.0,2011-01-01 15:00:00
17,2011-01-01,1.0,0.0,1,16,0,6,0.0,2.0,25549.66,51187.80320000002,820000.0,89777.7555,41,52,93.0,2011-01-01 16:00:00
18,2011-01-01,1.0,0.0,1,17,0,6,0.0,2.0,27626.120000000003,55557.7424,820000.0,85296.38680000001,15,52,67.0,2011-01-01 17:00:00
19,2011-01-01,1.0,0.0,1,18,0,6,0.0,3.0,25549.66,51187.80320000002,880000.0,76303.5731,9,26,35.0,2011-01-01 18:00:00
20,2011-01-01,1.0,0.0,1,19,0,6,0.0,3.0,25549.66,51187.80320000002,880000.0,76303.5731,6,31,37.0,2011-01-01 19:00:00
21,2011-01-01,1.0,0.0,1,20,0,6,0.0,2.0,23473.2,46846.61360000001,870000.0,76303.5731,11,25,36.0,2011-01-01 20:00:00
22,2011-01-01,1.0,0.0,1,21,0,6,0.0,2.0,23473.2,46846.61360000001,870000.0,58348.022,3,31,34.0,2011-01-01 21:00:00
23,2011-01-01,1.0,0.0,1,22,0,6,0.0,2.0,23473.2,46846.61360000001,940000.0,67340.8357,11,17,28.0,2011-01-01 22:00:00
24,2011-01-01,1.0,0.0,1,23,0,6,0.0,2.0,29702.58,59898.932,880000.0,89777.7555,15,24,39.0,2011-01-01 23:00:00
25,2011-01-02,1.0,0.0,1,0,0,0,0.0,2.0,29702.58,59898.932,880000.0,89777.7555,4,13,17.0,2011-01-02 00:00:00
26,2011-01-02,1.0,0.0,1,1,0,0,0.0,2.0,27626.120000000003,55557.7424,940000.0,76303.5731,1,16,17.0,2011-01-02 01:00:00
27,2011-01-02,1.0,0.0,1,2,0,0,0.0,2.0,25549.66,51187.80320000002,1000000.0,85296.38680000001,1,8,9.0,2011-01-02 02:00:00
28,2011-01-02,1.0,0.0,1,3,0,0,0.0,2.0,29702.58,59898.932,940000.0,58348.022,2,4,6.0,2011-01-02 03:00:00
29,2011-01-02,1.0,0.0,1,4,0,0,0.0,2.0,29702.58,59898.932,940000.0,58348.022,2,1,3.0,2011-01-02 04:00:00
30,2011-01-02,1.0,0.0,1,6,0,0,0.0,3.0,25549.66,51187.80320000002,770000.0,89777.7555,0,2,2.0,2011-01-02 06:00:00
31,2011-01-02,1.0,0.0,1,7,0,0,0.0,2.0,23473.2,46846.61360000001,760000.0,58348.022,0,1,1.0,2011-01-02 07:00:00
32,2011-01-02,1.0,0.0,1,8,0,0,0.0,3.0,23473.2,46846.61360000001,710000.0,67340.8357,0,8,8.0,2011-01-02 08:00:00
33,2011-01-02,1.0,0.0,1,9,0,0,0.0,2.0,21396.74,42476.6744,760000.0,67340.8357,1,19,20.0,2011-01-02 09:00:00
34,2011-01-02,1.0,0.0,1,10,0,0,0.0,2.0,19320.279999999995,29424.356,810000.0,67340.8357,7,46,53.0,2011-01-02 10:00:00
35,2011-01-02,1.0,0.0,1,11,0,0,0.0,2.0,19320.279999999995,25054.416799999988,710000.0,76303.5731,16,54,70.0,2011-01-02 11:00:00
36,2011-01-02,1.0,0.0,1,12,0,0,0.0,2.0,19320.279999999995,25054.416799999988,660000.0,89777.7555,20,73,93.0,2011-01-02 12:00:00
37,2011-01-02,1.0,0.0,1,13,0,0,0.0,2.0,19320.279999999995,29424.356,660000.0,40392.4709,11,64,75.0,2011-01-02 13:00:00
38,2011-01-02,1.0,0.0,1,14,0,0,0.0,3.0,19320.279999999995,29424.356,760000.0,58348.022,4,55,59.0,2011-01-02 14:00:00
39,2011-01-02,1.0,0.0,1,15,0,0,0.0,3.0,17243.82,25054.416799999988,810000.0,49385.2846,19,55,74.0,2011-01-02 15:00:00
40,2011-01-02,1.0,0.0,1,16,0,0,0.0,3.0,17243.82,25054.416799999988,710000.0,49385.2846,9,67,76.0,2011-01-02 16:00:00
41,2011-01-02,1.0,0.0,1,17,0,0,0.0,1.0,17243.82,25054.416799999988,569999.9999999999,58348.022,7,58,65.0,2011-01-02 17:00:00
42,2011-01-02,1.0,0.0,1,18,0,0,0.0,2.0,19320.279999999995,25054.416799999988,460000.0,98770.5692,10,43,53.0,2011-01-02 18:00:00
43,2011-01-02,1.0,0.0,1,19,0,0,0.0,1.0,15167.360000000002,12002.098400000004,420000.0,134681.6714,1,29,30.0,2011-01-02 19:00:00
44,2011-01-02,1.0,0.0,1,20,0,0,0.0,1.0,13090.9,7632.159200000005,390000.0,107733.3066,5,17,22.0,2011-01-02 20:00:00
45,2011-01-02,1.0,0.0,1,21,0,0,0.0,1.0,8937.980000000001,-5420.159200000002,440000.0,98770.5692,11,20,31.0,2011-01-02 21:00:00
46,2011-01-02,1.0,0.0,1,22,0,0,0.0,1.0,6861.52,-9790.098399999992,440000.0,89777.7555,0,9,9.0,2011-01-02 22:00:00
47,2011-01-02,1.0,0.0,1,23,0,0,0.0,1.0,4785.06,-5420.159200000002,470000.0,49385.2846,0,8,8.0,2011-01-02 23:00:00
48,2011-01-03,1.0,0.0,1,0,0,1,1.0,1.0,4785.06,-14131.288,440000.0,107733.3066,0,5,5.0,2011-01-03 00:00:00
49,2011-01-03,1.0,0.0,1,1,0,1,1.0,1.0,2708.6000000000004,-22842.41680000001,440000.0,125688.8577,0,2,2.0,2011-01-03 01:00:00
50,2011-01-03,1.0,0.0,1,4,0,1,1.0,1.0,-1444.319999999999,-31553.5456,470000.0,116726.1203,0,1,1.0,2011-01-03 04:00:00
51,2011-01-03,1.0,0.0,1,5,0,1,1.0,1.0,-1444.319999999999,-31553.5456,470000.0,85296.38680000001,0,3,3.0,2011-01-03 05:00:00
52,2011-01-03,1.0,0.0,1,6,0,1,1.0,1.0,-3520.779999999998,-40264.67439999999,500000.0,116726.1203,0,30,30.0,2011-01-03 06:00:00
53,2011-01-03,1.0,0.0,1,7,0,1,1.0,1.0,-3520.779999999998,-31553.5456,500000.0,58348.022,1,63,64.0,2011-01-03 07:00:00
54,2011-01-03,1.0,0.0,1,8,0,1,1.0,1.0,-3520.779999999998,-35923.484800000006,500000.0,85296.38680000001,1,153,154.0,2011-01-03 08:00:00
55,2011-01-03,1.0,0.0,1,9,0,1,1.0,1.0,-1444.319999999999,-31553.5456,430000.0,116726.1203,7,81,88.0,2011-01-03 09:00:00
56,2011-01-03,1.0,0.0,1,10,0,1,1.0,1.0,632.1399999999979,-22842.41680000001,430000.0,76303.5731,11,33,44.0,2011-01-03 10:00:00
57,2011-01-03,1.0,0.0,1,11,0,1,1.0,1.0,2708.6000000000004,-18501.227200000005,400000.0,98770.5692,10,41,51.0,2011-01-03 11:00:00
58,2011-01-03,1.0,0.0,1,12,0,1,1.0,1.0,4785.06,-9790.098399999992,350000.0,89777.7555,13,48,61.0,2011-01-03 12:00:00
59,2011-01-03,1.0,0.0,1,13,0,1,1.0,1.0,6861.52,-9790.098399999992,350000.0,85296.38680000001,8,53,61.0,2011-01-03 13:00:00
60,2011-01-03,1.0,0.0,1,14,0,1,1.0,1.0,8937.980000000001,-1078.9695999999992,300000.0,85296.38680000001,11,66,77.0,2011-01-03 14:00:00
61,2011-01-03,1.0,0.0,1,15,0,1,1.0,1.0,8937.980000000001,-1078.9695999999992,300000.0,76303.5731,14,58,72.0,2011-01-03 15:00:00
62,2011-01-03,1.0,0.0,1,16,0,1,1.0,1.0,8937.980000000001,-1078.9695999999992,300000.0,76303.5731,9,67,76.0,2011-01-03 16:00:00
63,2011-01-03,1.0,0.0,1,17,0,1,1.0,1.0,6861.52,-5420.159200000002,300000.0,67340.8357,11,146,157.0,2011-01-03 17:00:00
64,2011-01-03,1.0,0.0,1,18,0,1,1.0,1.0,6861.52,3290.9695999999985,320000.0,31429.7335,9,148,157.0,2011-01-03 18:00:00
65,2011-01-03,1.0,0.0,1,19,0,1,1.0,1.0,2708.6000000000004,3290.9695999999985,470000.0,0.0,8,102,110.0,2011-01-03 19:00:00
66,2011-01-03,1.0,0.0,1,20,0,1,1.0,1.0,2708.6000000000004,-5420.159200000002,470000.0,31429.7335,3,49,52.0,2011-01-03 20:00:00
67,2011-01-03,1.0,0.0,1,21,0,1,1.0,1.0,632.1399999999979,-14131.288,640000.0,40392.4709,3,49,52.0,2011-01-03 21:00:00
68,2011-01-03,1.0,0.0,1,22,0,1,1.0,1.0,-3520.779999999998,-27212.356,690000.0,40392.4709,0,20,20.0,2011-01-03 22:00:00
69,2011-01-03,1.0,0.0,1,23,0,1,1.0,1.0,632.1399999999979,-9790.098399999992,550000.0000000001,31429.7335,1,11,12.0,2011-01-03 23:00:00
70,2011-01-04,1.0,0.0,1,0,0,2,1.0,1.0,-1444.319999999999,-18501.227200000005,550000.0000000001,31429.7335,0,5,5.0,2011-01-04 00:00:00
71,2011-01-04,1.0,0.0,1,1,0,2,1.0,1.0,-1444.319999999999,-18501.227200000005,590000.0,31429.7335,0,2,2.0,2011-01-04 01:00:00
72,2011-01-04,1.0,0.0,1,2,0,2,1.0,1.0,-3520.779999999998,-27212.356,630000.0,40392.4709,0,1,1.0,2011-01-04 02:00:00
73,2011-01-04,1.0,0.0,1,4,0,2,1.0,1.0,-3520.779999999998,-18501.227200000005,630000.0,26948.3648,0,2,2.0,2011-01-04 04:00:00
